target_id,concept,estimand_role,evidence_status,geography,population,reference_period,subgroup,value,unit,lower_ci,upper_ci,source_id,source_file,source_locator,transformation,runtime_mapping,limitations
"population_18_64_total","population_count","CALIBRATION","QUANTIFIED","United Kingdom","usual residents aged 18-64","2024-06-30","all","41860587","persons","","","ons_population_mid_2024","calibration_evidence_by_point/04_population/ons_mid_2024_population_estimates.xlsx","MYE2 - Persons!A8:CQ9; UK single-year ages 18-64","sum published single-year counts","not_connected:population_projection","No cell-level sampling interval is supplied; the release was published in 2025."
"population_18_64_female","population_count","CALIBRATION","QUANTIFIED","United Kingdom","usual residents aged 18-64","2024-06-30","female","21279181","persons","","","ons_population_mid_2024","calibration_evidence_by_point/04_population/ons_mid_2024_population_estimates.xlsx","MYE2 - Females!A8:CQ9; UK single-year ages 18-64","sum published single-year counts","not_connected:sex_unsupported_in_PlayerTable","Sex is not represented by the current runtime player table."
"population_18_64_male","population_count","CALIBRATION","QUANTIFIED","United Kingdom","usual residents aged 18-64","2024-06-30","male","20581406","persons","","","ons_population_mid_2024","calibration_evidence_by_point/04_population/ons_mid_2024_population_estimates.xlsx","MYE2 - Males!A8:CQ9; UK single-year ages 18-64","sum published single-year counts","not_connected:sex_unsupported_in_PlayerTable","The source publishes female and male categories only; sex is not represented by the current runtime player table."
"time_sleeping_mean_march_2024","sleeping_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 18+","2024-03","all adults","518.5","minutes_per_day","513.4","523.7","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","24!A11:D11","published mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","This is sleeping only and must not be relabelled as sleep and rest; the population includes ages 65+."
"time_gaming_mean_march_2024","gaming_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 18+","2024-03","all adults","16.8","minutes_per_day","13.5","20.0","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","24!A23:D23","published mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Primary-activity diary time is unconditional and is not comparable to gamer-only telemetry."
"time_working_mean_march_2024","working_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 18+","2024-03","all adults","133.2","minutes_per_day","125.2","141.2","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","24!A13:D13","published mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Unconditional mean across adults; labour-force composition is not separately matched."
"time_working_from_home_mean_march_2024","working_from_home_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 18+","2024-03","all adults","49.2","minutes_per_day","43.4","55.1","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","24!A16:D16","published mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Unconditional mean across adults; this is a subset of work and must not be added to total working time."
"time_socialising_mean_march_2024","socialising_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 18+","2024-03","all adults","30.8","minutes_per_day","27.0","34.5","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","24!A18:D18","published mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Primary-activity diary time; simultaneous activities may not be captured."
"sleep_rest_age_18_24_march_2024","sleep_and_rest_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 18-24","2024-03","age 18-24","577.9","minutes_per_day","545.9","609.8","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","7!AY11 and 7!FA11:FB11","published age-band mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Sleep and rest is broader than sleeping."
"sleep_rest_age_25_34_march_2024","sleep_and_rest_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 25-34","2024-03","age 25-34","564.2","minutes_per_day","545.9","582.5","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","7!AZ11 and 7!FC11:FD11","published age-band mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Sleep and rest is broader than sleeping."
"sleep_rest_age_35_44_march_2024","sleep_and_rest_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 35-44","2024-03","age 35-44","531.9","minutes_per_day","520.0","543.8","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","7!BA11 and 7!FE11:FF11","published age-band mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Sleep and rest is broader than sleeping."
"sleep_rest_age_45_54_march_2024","sleep_and_rest_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 45-54","2024-03","age 45-54","521.8","minutes_per_day","509.2","534.3","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","7!BB11 and 7!FG11:FH11","published age-band mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Sleep and rest is broader than sleeping."
"sleep_rest_age_55_64_march_2024","sleep_and_rest_minutes","CALIBRATION","QUANTIFIED","United Kingdom","adults aged 55-64","2024-03","age 55-64","520.4","minutes_per_day","509.3","531.4","ons_time_use_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_march_2024.xlsx","7!BC11 and 7!FI11:FJ11","published age-band mean and 95% confidence interval","not_connected:life_initialization_is_hard_coded","Sleep and rest is broader than sleeping."
"sleep_rest_weekday_march_2024","sleep_and_rest_minutes","DIAGNOSTIC","QUANTIFIED","United Kingdom","adults aged 18+","2024-03","weekday","524.0","minutes_per_day","","","ons_time_use_weekday_weekend_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_weekday_weekend_march_2024.xlsx","Table 1!B5","published mean","not_connected:day_type_not_initialized","The workbook supplies no uncertainty interval for this table."
"sleep_rest_weekend_march_2024","sleep_and_rest_minutes","DIAGNOSTIC","QUANTIFIED","United Kingdom","adults aged 18+","2024-03","weekend","578.4","minutes_per_day","","","ons_time_use_weekday_weekend_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_weekday_weekend_march_2024.xlsx","Table 1!B6","published mean","not_connected:day_type_not_initialized","The workbook supplies no uncertainty interval for this table."
"sleep_rest_average_march_2024","sleep_and_rest_minutes","DIAGNOSTIC","QUANTIFIED","United Kingdom","adults aged 18+","2024-03","all days","539.5","minutes_per_day","","","ons_time_use_weekday_weekend_march_2024","calibration_evidence_by_point/02_reference_dataset/ons_time_use_weekday_weekend_march_2024.xlsx","Table 1!B7","published mean","not_connected:day_type_not_initialized","Sleep and rest is broader than sleeping; the workbook supplies no interval."
"holdout_sleeping_mean_sep_oct_2023","sleeping_minutes","VALIDATION","QUANTIFIED","United Kingdom","adults aged 18+","2023-09-23/2023-10-01","all adults","522.8","minutes_per_day","517.3","528.2","ons_time_use_sep_oct_2023","calibration_evidence_by_point/02_reference_dataset/ons_time_use_sep-oct_2023_holdout.xlsx","20!A11:D11","published mean and 95% confidence interval","held_out:not_used_for_fit","The sheet title and cover identify September 2023, but the table header incorrectly says March 2023."
"holdout_gaming_mean_sep_oct_2023","gaming_minutes","VALIDATION","QUANTIFIED","United Kingdom","adults aged 18+","2023-09-23/2023-10-01","all adults","14.8","minutes_per_day","11.7","17.9","ons_time_use_sep_oct_2023","calibration_evidence_by_point/02_reference_dataset/ons_time_use_sep-oct_2023_holdout.xlsx","20!A26:D26","published mean and 95% confidence interval","held_out:not_used_for_fit","The sheet title and cover identify September 2023, but the table header incorrectly says March 2023."
"frs_income_under_200","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","under GBP 200","5","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!C10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_200_399","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 200 to under 400","14","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!D10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_400_599","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 400 to under 600","18","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!E10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_600_799","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 600 to under 800","14","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!F10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_800_999","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 800 to under 1000","11","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!G10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_1000_1199","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 1000 to under 1200","9","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!H10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_1200_1399","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 1200 to under 1400","7","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!I10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_1400_1599","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 1400 to under 1600","5","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!J10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
